applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Social Policy and Administration,1,3.33,Social Policy and Administration,1,0,302.21,0,115.12,0,1,1
Medicine,6,3.37,Medicine,1,0,311.64,0,0,6.06,1,1
Education and Training,1,3.19,Education and Training,0,0,319.69,0,83.43,0,0,1
Marketing,8,3.25,Marketing,1,797.1,0,0,112.27,6.67,1,1
Geology,3,2.11,Sociology,0,445.19,0,1,0,0,0,0
Environmental Sciences,1,3.3,Environmental Sciences,1,710.62,0,1,0,0,1,1
Sociology,8,2.49,Agriculture and Forestry,0,466.77,0,1,0,0,0,0
Accounting and Finance,6,3.73,Accounting and Finance,1,774.34,0,0,0,7.44,1,1
Life Sciences and Medicine,4,3.25,Life Sciences and Medicine,0,0,309.78,1,0,0,1,0
Geology,8,2.52,Architecture and Built Environment,1,0,222.94,1,0,0,0,0
Engineering - Electrical and Electronic,4,3.39,Engineering - Electrical and Electronic,1,0,316.14,1,0,0,1,0
"Theology, Divinity and Religious Studies",10,3.63,"Theology, Divinity and Religious Studies",0,752.2,334.64,0,92.89,8.08,0,1
Development Studies,8,2.96,Veterinary Science,0,601.57,0,1,0,0,0,1
Geology,1,3.01,Geography,0,0,197.7,1,0,0,1,0
Engineering - Petroleum,2,3.36,Anthropology,1,788.7,0,1,0,0,1,1
Hospitality and Leisure Management,2,3.52,Hospitality and Leisure Management,0,0,318.77,0,89.06,0,1,1
Anthropology,2,2.71,Computer Science and Information Systems,1,317.25,0,0,0,8.99,1,0
Statistics and Operational Research,5,3.97,Statistics and Operational Research,1,729.91,0,0,0,7.74,1,0
Dentistry,4,3.6,Dentistry,1,0,303.94,1,0,0,0,1
Geography,8,3.94,Geography,1,0,323.53,1,0,0,1,1
Statistics and Operational Research,6,3.33,Statistics and Operational Research,1,758.93,303.08,1,0,0,1,1
Social Policy and Administration,2,3.09,Social Policy and Administration,1,0,307.73,0,109.55,0,1,1
Mathematics,4,3.12,Mathematics,1,0,311.64,0,99.0,6.15,1,1
Education and Training,0,3.55,Geology,1,0,303.02,0,0,6.78,1,1
Art and Design,10,3.69,Linguistics,0,0,319.02,0,0,6.68,0,1
Pharmacy and Pharmacology,4,2.36,Computer Science and Information Systems,0,603.21,243.92,1,0,0,0,0
Art and Design,10,2.95,Classics and Ancient History,0,0,278.21,1,0,0,0,0
Modern Languages,1,3.95,Modern Languages,1,0,308.38,1,0,0,0,1
Law and Legal Studies,7,3.68,Law and Legal Studies,0,765.44,306.83,1,0,0,1,1
Education and Training,1,2.22,Chemistry,0,551.13,0,0,96.14,6.59,0,1
English Language and Literature,2,3.94,Social Policy and Administration,1,0,327.02,1,0,0,1,1
Engineering - Mechanical,3,3.79,Engineering - Mechanical,1,0,324.18,1,0,0,1,1
Engineering - Mechanical,5,3.82,Engineering - Mechanical,1,0,303.9,1,0,0,1,1
History,4,3.25,History,1,714.56,0,1,0,0,0,0
Engineering - Civil and Structural,0,3.83,Engineering - Civil and Structural,1,781.67,0,0,84.64,0,1,1
Medicine,2,3.46,Medicine,1,0,311.64,1,0,0,1,1
Geophysics,7,3.73,Geophysics,1,702.35,326.24,1,0,0,1,1
Earth and Marine Sciences,4,3.2,Business and Management Studies,1,583.78,197.97,0,93.42,0,1,1
Physics and Astronomy,2,3.01,Earth and Marine Sciences,0,0,201.46,1,0,0,0,0
Marketing,9,3.46,Marketing,1,772.38,0,0,83.01,0,0,1
Mathematics,5,3.64,Mathematics,1,761.35,0,1,0,0,1,1
Geophysics,1,3.07,Geophysics,1,0,333.49,0,0,7.83,1,1
Classics and Ancient History,8,2.28,Medicine,0,0,217.66,0,0,7.95,1,0
Computer Science and Information Systems,8,2.48,Anatomy and Physiology,0,443.75,0,0,84.49,0,0,0
Chemistry,2,3.57,Chemistry,1,0,311.42,0,107.24,0,1,1
Nursing,8,3.38,Nursing,0,704.9,0,1,0,0,0,1
Arts and Humanities,3,3.35,Arts and Humanities,1,716.57,0,0,119.08,0,1,1
"Theology, Divinity and Religious Studies",1,3.72,"Theology, Divinity and Religious Studies",1,703.97,312.91,1,0,0,1,1
Politics,4,3.12,Politics,1,738.28,0,0,0,8.95,1,1
Law and Legal Studies,1,3.95,Law and Legal Studies,1,721.49,310.48,1,0,0,1,1
Dentistry,9,3.79,Medicine,0,772.58,337.53,1,0,0,1,1
Architecture and Built Environment,5,3.86,Architecture and Built Environment,1,728.14,304.52,0,96.13,0,1,1
Engineering - Electrical and Electronic,8,2.37,Nursing,0,0,196.09,1,0,0,0,0
English Language and Literature,2,3.37,English Language and Literature,0,796.92,0,1,0,0,1,1
Materials Sciences,2,3.02,Materials Sciences,1,721.23,332.31,1,0,0,1,1
Earth and Marine Sciences,1,3.21,Earth and Marine Sciences,1,0,305.78,1,0,0,1,1
Sports-Related Subjects,0,3.78,Sports-Related Subjects,1,760.88,0,0,0,6.98,1,1
Engineering - Petroleum,5,3.07,Engineering - Petroleum,1,723.23,313.53,1,0,0,1,1
Economics and Econometrics,5,3.51,Economics and Econometrics,1,0,303.26,0,0,7.54,1,1
Architecture and Built Environment,0,3.94,Architecture and Built Environment,0,749.78,334.83,1,0,0,1,1
Life Sciences and Medicine,8,3.69,Social Policy and Administration,1,0,327.17,1,0,0,1,0
Art and Design,10,4.0,Art and Design,0,0,306.44,0,96.56,0,1,1
Computer Science and Information Systems,7,3.55,Engineering - Electrical and Electronic,0,774.87,335.94,0,0,6.8,1,1
Computer Science and Information Systems,1,2.84,Anatomy and Physiology,0,422.39,0,0,84.88,0,0,0
Statistics and Operational Research,4,3.48,Statistics and Operational Research,0,749.82,0,1,0,0,1,1
Education and Training,6,3.79,Education and Training,1,785.9,0,1,0,0,1,1
Pharmacy and Pharmacology,0,2.58,Medicine,1,510.44,0,0,87.53,0,0,0
Physics and Astronomy,9,3.83,Physics and Astronomy,0,0,321.33,1,0,0,1,1
Archaeology,3,3.38,Archaeology,1,793.1,302.4,1,0,0,1,1
Life Sciences and Medicine,3,3.99,Life Sciences and Medicine,1,749.95,0,0,0,6.21,0,0
Arts and Humanities,10,2.12,Art History,1,0,215.57,0,0,8.56,0,0
Chemistry,9,3.46,Chemistry,0,705.26,325.2,1,0,0,1,1
Engineering - Electrical and Electronic,7,3.26,Development Studies,1,0,306.92,0,0,8.54,1,1
Architecture and Built Environment,2,3.35,Architecture and Built Environment,1,750.56,0,1,0,0,1,1
Geography,3,3.18,Biological Sciences,0,0,278.86,1,0,0,0,0
Engineering - Petroleum,2,3.36,Architecture and Built Environment,1,714.62,0,0,0,6.07,0,1
Anatomy and Physiology,2,3.14,Anatomy and Physiology,0,706.44,0,1,0,0,1,1
Engineering - Electrical and Electronic,10,3.91,Engineering - Electrical and Electronic,0,772.83,0,0,114.09,0,1,1
English Language and Literature,6,2.92,Geophysics,0,0,267.97,1,0,0,0,0
Engineering - Electrical and Electronic,9,2.49,Performing Arts,0,508.35,239.54,1,0,0,0,1
Sociology,6,3.24,Sociology,1,797.17,0,1,0,0,1,1
Engineering and Technology,5,3.37,Engineering and Technology,1,0,331.34,0,0,7.08,1,1
Engineering and Technology,9,3.35,Earth and Marine Sciences,1,0,330.25,0,0,7.13,1,1
Hospitality and Leisure Management,7,3.59,Hospitality and Leisure Management,1,756.69,0,1,0,0,0,1
Computer Science and Information Systems,10,2.73,Economics and Econometrics,0,437.47,0,0,0,6.95,0,0
Geophysics,4,3.71,Psychology,1,0,326.51,0,83.18,0,1,1
Architecture and Built Environment,8,3.25,Data Science,0,0,211.57,0,102.84,7.29,0,0
Archaeology,6,3.32,Archaeology,1,0,314.49,0,108.42,0,1,1
Art History,4,3.8,Art History,1,748.52,327.7,0,115.33,0,1,1
Business and Management Studies,9,3.99,Business and Management Studies,0,0,308.94,1,0,0,1,1
Geophysics,7,2.42,Social Sciences and Management,0,0,224.58,0,102.8,0,0,0
Marketing,2,3.04,Marketing,1,0,338.01,1,0,0,1,1
Linguistics,0,2.39,Psychology,0,363.38,0,1,0,0,0,0
Mathematics,10,3.88,Mathematics,1,0,303.54,0,101.24,7.62,0,1
Veterinary Science,6,2.04,Sociology,1,371.22,0,1,0,0,0,0
Social Sciences and Management,9,3.48,Social Sciences and Management,0,0,316.61,1,0,0,0,1
Agriculture and Forestry,9,3.26,Agriculture and Forestry,1,0,309.65,1,0,0,1,1
Pharmacy and Pharmacology,6,3.25,Archaeology,1,0,329.72,0,0,6.46,1,1
Anatomy and Physiology,2,3.25,Anatomy and Physiology,1,793.98,0,1,0,0,0,1
Veterinary Science,5,2.52,Agriculture and Forestry,0,597.6,0,0,87.11,0,1,0
Pharmacy and Pharmacology,9,3.34,Pharmacy and Pharmacology,1,701.1,0,1,0,0,1,1
Chemistry,9,3.91,Philosophy,0,707.04,0,1,0,0,0,1
Engineering - Civil and Structural,0,3.27,History,1,795.07,314.19,0,87.7,0,1,1
Social Policy and Administration,4,2.86,Data Science,0,0,189.42,0,0,8.42,0,0
Environmental Sciences,4,2.5,Linguistics,0,0,248.3,0,0,6.71,0,1
Data Science,4,3.62,Data Science,1,0,305.85,1,0,0,1,0
Accounting and Finance,8,2.25,Medicine,1,317.77,0,0,116.85,7.46,1,0
Agriculture and Forestry,3,3.79,Agriculture and Forestry,1,767.81,0,0,0,6.12,0,1
Geography,2,3.98,Geography,1,0,321.16,1,0,0,1,1
Nursing,9,2.96,Development Studies,1,0,241.67,0,0,7.01,0,1
Linguistics,10,3.56,Linguistics,1,768.27,0,0,0,7.4,1,1
Philosophy,6,3.15,Philosophy,1,0,310.74,1,0,0,1,0
Development Studies,6,3.61,Art History,1,0,320.69,0,81.54,0,1,1
Classics and Ancient History,2,3.25,Classics and Ancient History,0,758.31,325.79,1,0,0,0,1
Social Policy and Administration,2,3.49,Social Policy and Administration,1,0,301.91,1,0,0,1,0
Engineering - Chemical,0,3.74,Engineering - Chemical,1,788.99,308.92,0,105.49,7.63,1,0
Social Sciences and Management,6,3.31,Social Sciences and Management,1,0,305.47,1,0,0,1,0
Anatomy and Physiology,3,3.23,Anatomy and Physiology,1,781.93,0,1,0,0,1,1
Geophysics,2,3.85,Geophysics,1,0,313.98,0,0,6.96,0,0
Engineering - Mineral and Mining,3,3.78,Engineering - Mineral and Mining,0,0,305.76,0,0,6.43,1,1
Geophysics,1,2.58,Engineering - Electrical and Electronic,1,0,201.62,0,0,6.02,0,0
Education and Training,3,3.19,Education and Training,0,0,310.72,0,96.93,0,1,0
Engineering - Mineral and Mining,2,3.62,Engineering - Mineral and Mining,1,0,317.78,0,110.43,7.18,0,1
Earth and Marine Sciences,7,3.48,Earth and Marine Sciences,1,0,321.77,1,0,0,1,0
Business and Management Studies,10,3.22,Business and Management Studies,1,0,327.79,0,0,6.15,1,1
Social Sciences and Management,0,3.62,Social Sciences and Management,1,790.0,320.37,0,0,8.89,1,0
Architecture and Built Environment,8,3.03,Architecture and Built Environment,1,0,318.29,1,0,0,1,1
Data Science,5,3.36,History,1,0,315.47,0,90.98,0,0,1
Veterinary Science,2,2.51,Art and Design,0,0,208.15,0,0,6.27,0,0
Performing Arts,9,3.04,Performing Arts,1,706.98,303.45,1,0,0,1,1
Dentistry,9,3.01,Dentistry,0,733.02,0,1,0,0,0,1
Philosophy,1,3.03,Art History,1,794.62,0,1,0,0,1,1
Geology,10,3.29,Life Sciences and Medicine,0,374.88,0,0,0,8.72,0,1
Veterinary Science,8,3.87,Veterinary Science,1,0,336.03,0,94.05,0,1,1
Engineering - Petroleum,10,3.62,Engineering - Petroleum,1,798.33,0,0,0,8.45,1,1
Life Sciences and Medicine,4,3.61,Life Sciences and Medicine,0,0,337.46,0,84.89,0,1,1
Physics and Astronomy,8,3.7,Physics and Astronomy,1,0,320.09,0,0,6.91,1,1
Psychology,8,3.36,Psychology,0,0,305.7,1,0,0,1,1
Engineering and Technology,8,3.58,Engineering and Technology,0,0,338.72,0,0,8.4,1,0
Engineering - Electrical and Electronic,7,3.56,Engineering - Electrical and Electronic,1,759.33,0,1,0,0,1,1
Medicine,10,3.79,Medicine,1,0,332.84,1,0,0,1,0
Geography,10,3.97,Agriculture and Forestry,1,0,308.44,1,0,0,1,0
Engineering - Mechanical,4,3.44,Engineering - Mechanical,1,0,325.6,0,0,8.72,1,1
Engineering and Technology,0,3.29,Geology,0,0,198.82,1,0,0,1,0
Arts and Humanities,4,3.28,Architecture and Built Environment,0,0,264.89,1,0,0,0,0
Linguistics,9,3.08,Physics and Astronomy,0,395.2,0,0,102.39,0,0,1
Engineering and Technology,5,2.05,Engineering - Mechanical,0,0,226.73,0,0,8.95,0,1
Geography,0,3.5,English Language and Literature,0,0,311.67,1,0,0,1,1
Engineering - Mineral and Mining,10,2.99,Social Policy and Administration,0,0,268.26,0,0,7.68,0,0
Engineering - Electrical and Electronic,7,2.51,Development Studies,0,0,267.84,0,0,8.19,0,0
Chemistry,10,3.58,Chemistry,1,0,323.21,1,0,0,1,1
Art History,4,3.32,Art History,1,734.9,0,0,0,7.63,1,1
Biological Sciences,6,3.77,Geology,1,0,335.83,1,0,0,0,1
Social Policy and Administration,4,3.2,Social Policy and Administration,1,739.52,314.55,0,97.13,0,0,0
Economics and Econometrics,8,3.49,Economics and Econometrics,1,777.77,323.83,1,0,0,1,0
Education and Training,3,3.02,Education and Training,0,0,303.84,0,0,6.62,1,0
Sociology,9,3.37,Sociology,1,789.72,0,0,0,7.74,1,1
Medicine,3,3.64,Engineering - Petroleum,1,728.85,0,1,0,0,1,1
Psychology,5,3.74,Psychology,1,0,318.64,1,0,0,1,1
Agriculture and Forestry,4,3.88,Agriculture and Forestry,0,0,315.45,0,84.98,0,1,1
Engineering - Mineral and Mining,0,3.22,Engineering - Mineral and Mining,1,716.0,0,0,96.47,0,1,0
Architecture and Built Environment,3,3.1,Architecture and Built Environment,1,738.38,0,1,0,0,1,1
Agriculture and Forestry,3,3.28,Earth and Marine Sciences,0,792.67,316.22,0,98.68,0,1,1
Life Sciences and Medicine,6,3.13,Life Sciences and Medicine,1,0,319.1,0,0,7.1,1,1
Communication and Media Studies,3,3.23,Communication and Media Studies,0,708.09,0,0,0,6.29,1,1
Natural Sciences,10,3.85,Natural Sciences,1,0,319.87,1,0,0,0,1
Sports-Related Subjects,0,3.49,Sports-Related Subjects,1,0,302.06,1,0,0,1,1
Earth and Marine Sciences,5,3.3,Life Sciences and Medicine,1,0,311.84,1,0,0,1,1
Anatomy and Physiology,8,3.84,Communication and Media Studies,0,701.47,0,1,0,0,1,0
Anatomy and Physiology,0,2.51,Communication and Media Studies,1,528.84,209.94,1,0,0,0,0
Life Sciences and Medicine,2,3.28,Environmental Sciences,1,714.81,307.8,0,98.48,7.63,1,1
Computer Science and Information Systems,2,3.02,Computer Science and Information Systems,1,0,301.48,0,0,7.17,1,1
Mathematics,5,3.68,Mathematics,1,707.71,314.69,1,0,0,1,1
"Theology, Divinity and Religious Studies",1,3.87,"Theology, Divinity and Religious Studies",1,734.03,0,1,0,0,0,1
Physics and Astronomy,10,3.11,Physics and Astronomy,1,0,314.66,0,99.24,0,1,1
Natural Sciences,0,2.39,Medicine,0,0,256.89,0,0,8.14,0,0
Veterinary Science,5,2.06,Art History,0,520.91,0,0,83.33,6.01,1,1
Business and Management Studies,2,3.71,Business and Management Studies,1,0,331.76,1,0,0,1,1
Social Policy and Administration,10,3.87,Social Policy and Administration,1,0,335.12,0,84.43,0,1,1
Nursing,9,2.34,English Language and Literature,0,333.0,0,1,0,0,1,1
Engineering - Mechanical,7,3.22,Engineering - Mechanical,1,783.46,331.91,1,0,0,1,1
Sports-Related Subjects,1,2.47,Psychology,1,0,231.18,0,0,8.1,0,0
Anatomy and Physiology,7,3.55,Nursing,1,0,332.46,0,118.13,6.51,1,1
Life Sciences and Medicine,7,3.44,Life Sciences and Medicine,1,796.7,0,0,98.39,0,1,0
Materials Sciences,8,3.57,Materials Sciences,0,764.49,319.44,0,110.27,0,1,0
Sports-Related Subjects,7,3.32,Sports-Related Subjects,1,0,319.7,0,111.28,0,1,1
Modern Languages,5,3.66,Modern Languages,1,0,311.96,0,0,6.17,1,1
Communication and Media Studies,10,3.5,Communication and Media Studies,0,716.9,0,0,106.26,7.31,1,1
"Theology, Divinity and Religious Studies",1,3.6,"Theology, Divinity and Religious Studies",1,798.91,0,0,0,8.78,1,0
Data Science,8,3.55,Data Science,1,728.27,0,0,0,8.37,1,0
Engineering - Mineral and Mining,7,3.38,Engineering - Mineral and Mining,1,0,301.8,0,98.27,8.2,1,1
Mathematics,9,4.0,Mathematics,1,707.18,317.92,0,115.3,8.91,1,1
Education and Training,2,3.11,History,0,648.73,0,0,0,8.47,0,0
Nursing,1,3.24,Nursing,1,724.54,336.62,0,114.99,0,1,1
History,2,3.94,History,1,0,301.78,1,0,0,1,1
Engineering - Civil and Structural,0,3.84,"Theology, Divinity and Religious Studies",0,742.18,0,1,0,0,0,0
Social Policy and Administration,7,3.0,Social Policy and Administration,0,0,324.84,0,0,6.5,0,1
Medicine,9,3.46,Medicine,1,0,319.96,0,114.4,0,1,1
Accounting and Finance,5,3.81,Accounting and Finance,1,0,316.78,0,0,7.65,1,1
English Language and Literature,1,2.51,Social Sciences and Management,0,0,211.1,0,0,6.36,0,0
Art History,6,2.28,History,0,340.87,0,1,0,0,0,0
Arts and Humanities,10,3.23,Earth and Marine Sciences,0,0,188.92,1,0,0,0,1
Computer Science and Information Systems,7,3.49,Computer Science and Information Systems,1,0,316.82,1,0,0,1,1
Art History,0,3.62,Art History,1,764.65,325.73,0,103.49,0,1,1
Biological Sciences,4,3.1,Biological Sciences,1,0,337.39,1,0,0,0,1
Geology,1,3.53,English Language and Literature,1,742.36,0,0,116.84,0,0,1
Medicine,9,3.26,Medicine,1,0,336.55,0,0,7.82,1,1
Architecture and Built Environment,7,3.33,Architecture and Built Environment,1,772.69,0,1,0,0,0,1
Earth and Marine Sciences,1,3.2,Earth and Marine Sciences,1,784.16,0,1,0,0,1,1
Veterinary Science,8,3.41,Veterinary Science,1,0,324.3,1,0,0,1,1
Economics and Econometrics,0,2.89,Geophysics,0,592.0,203.14,0,117.68,0,0,0
Mathematics,1,3.08,Mathematics,1,780.01,308.95,1,0,0,1,1
Social Policy and Administration,3,3.94,Social Policy and Administration,0,714.72,0,1,0,0,1,1
Medicine,9,3.72,Medicine,1,799.5,0,1,0,0,1,0
Architecture and Built Environment,2,3.29,Architecture and Built Environment,1,0,321.01,0,95.52,0,1,1
Geography,2,3.17,Agriculture and Forestry,1,0,309.25,1,0,0,0,0
Veterinary Science,4,3.03,Veterinary Science,1,762.13,0,1,0,0,1,1
Psychology,8,3.17,Psychology,1,0,311.84,1,0,0,1,1
Art and Design,5,3.69,Art and Design,1,0,313.43,0,0,8.12,1,1
Psychology,8,2.18,Hospitality and Leisure Management,0,0,274.0,0,97.15,0,0,0
Politics,8,3.46,Politics,1,723.45,0,1,0,0,1,1
Psychology,3,2.09,Architecture and Built Environment,0,468.35,0,0,97.74,7.85,0,0
Data Science,9,3.88,Data Science,1,0,303.29,1,0,0,1,1
Physics and Astronomy,4,3.24,Physics and Astronomy,1,792.4,0,1,0,0,1,1
Anatomy and Physiology,8,2.81,Physics and Astronomy,0,625.49,0,0,0,6.67,0,0
Art and Design,3,3.18,Art and Design,1,798.4,303.24,1,0,0,1,0
Arts and Humanities,6,3.16,Natural Sciences,1,553.53,0,1,0,0,0,0
Natural Sciences,5,3.2,Statistics and Operational Research,0,0,271.69,1,0,0,0,0
Nursing,7,3.06,Medicine,0,426.0,0,0,113.05,0,1,0
Medicine,8,3.86,Medicine,1,786.16,305.69,1,0,0,1,0
Nursing,10,3.56,Nursing,1,0,338.34,1,0,0,1,1
Data Science,7,3.25,Art History,0,603.63,0,1,0,0,0,1
Law and Legal Studies,2,3.48,Law and Legal Studies,1,700.43,337.3,1,0,0,1,1
Engineering - Chemical,4,2.08,Library and Information Management,0,0,244.93,0,99.56,0,0,0
Linguistics,6,2.57,Dentistry,0,0,244.56,1,0,0,0,0
Development Studies,0,3.84,Development Studies,1,770.61,0,0,104.08,8.5,1,1
Computer Science and Information Systems,4,3.96,Computer Science and Information Systems,1,0,312.99,0,89.56,0,1,0
Philosophy,0,3.38,Philosophy,1,0,316.34,0,0,6.29,1,1
Engineering and Technology,6,3.16,Engineering and Technology,1,0,314.22,1,0,0,1,1
Art and Design,0,3.55,Art and Design,1,746.99,0,0,0,7.49,1,1
Geology,4,2.46,Engineering - Chemical,0,559.13,0,0,0,6.99,0,0
Philosophy,6,3.36,Philosophy,0,714.83,0,1,0,0,1,0
Linguistics,5,3.41,Linguistics,1,0,339.14,0,0,6.29,1,1
Geography,6,3.37,Geography,1,0,317.1,0,0,6.87,0,1
Environmental Sciences,1,3.89,Environmental Sciences,1,715.5,328.38,0,0,8.35,1,1
Marketing,5,3.3,Marketing,1,0,325.24,0,95.39,0,1,1
Engineering - Electrical and Electronic,2,3.44,Engineering - Electrical and Electronic,1,791.67,0,1,0,0,1,1
Social Sciences and Management,0,3.56,Social Sciences and Management,0,710.37,0,1,0,0,1,1
Architecture and Built Environment,5,3.63,Classics and Ancient History,1,0,335.28,0,0,6.28,1,0
Social Sciences and Management,2,3.83,Social Sciences and Management,0,0,307.92,0,0,8.67,1,1
English Language and Literature,4,3.33,English Language and Literature,1,746.78,0,0,0,6.39,0,1
English Language and Literature,1,3.23,Law and Legal Studies,1,0,326.67,1,0,0,1,1
History,5,3.42,History,1,745.94,0,1,0,0,1,1
Social Sciences and Management,0,3.11,Social Sciences and Management,1,762.19,0,1,0,0,1,0
Engineering - Mechanical,5,3.87,Engineering - Mechanical,1,731.31,310.66,1,0,0,1,1
Psychology,5,2.13,Computer Science and Information Systems,0,0,189.78,1,0,0,0,1
History,7,3.85,History,0,0,301.48,0,82.78,0,1,0
Engineering and Technology,3,3.89,Engineering and Technology,1,0,310.14,1,0,0,1,1
Environmental Sciences,7,3.56,Sports-Related Subjects,1,784.85,322.93,0,0,8.77,1,1
Engineering - Chemical,5,2.65,Art and Design,0,0,192.72,1,0,0,0,0
Hospitality and Leisure Management,0,3.63,Hospitality and Leisure Management,1,717.3,0,1,0,0,0,1
Pharmacy and Pharmacology,10,3.97,Pharmacy and Pharmacology,1,0,329.38,1,0,0,1,1
Geophysics,0,3.24,Geophysics,1,0,332.92,1,0,0,1,1
Economics and Econometrics,2,2.29,Engineering - Mineral and Mining,0,0,265.96,1,0,0,0,0
Social Policy and Administration,9,3.41,Social Policy and Administration,1,708.89,0,0,83.98,0,1,1
Environmental Sciences,4,2.87,Sociology,0,460.21,0,0,0,7.79,0,0
Archaeology,3,3.67,Archaeology,1,0,327.61,1,0,0,1,1
Library and Information Management,9,3.63,Library and Information Management,1,781.53,302.76,0,0,6.08,1,1
Materials Sciences,10,3.19,Materials Sciences,0,0,318.37,0,0,6.6,1,0
Earth and Marine Sciences,8,3.55,Earth and Marine Sciences,1,773.1,0,0,80.14,7.09,1,0
Natural Sciences,0,3.79,Natural Sciences,1,0,316.54,0,0,6.98,1,0
Engineering - Electrical and Electronic,7,3.59,Engineering - Electrical and Electronic,1,740.36,0,0,103.74,8.96,1,1
History,5,3.67,History,1,778.93,0,0,0,7.15,1,1
Anthropology,2,3.32,Anthropology,1,0,338.27,0,95.88,8.5,1,1
Performing Arts,3,3.74,Performing Arts,1,0,304.9,0,113.47,0,1,1
Education and Training,6,3.63,Anthropology,1,794.92,337.38,0,0,6.61,1,1
Nursing,3,2.27,Hospitality and Leisure Management,0,573.13,0,0,0,8.08,0,0
Development Studies,7,3.33,Psychology,1,0,304.22,1,0,0,1,1
Anatomy and Physiology,1,3.27,Library and Information Management,0,462.71,0,0,119.56,0,1,0
Engineering - Mechanical,10,2.11,Hospitality and Leisure Management,0,542.49,0,1,0,0,1,0
Communication and Media Studies,2,3.23,Communication and Media Studies,1,735.46,0,1,0,0,1,1
Archaeology,8,3.9,Archaeology,1,781.07,327.02,0,0,6.3,1,1
"Theology, Divinity and Religious Studies",2,3.67,Art and Design,1,0,331.15,1,0,0,1,0
Veterinary Science,1,3.19,Veterinary Science,0,787.05,321.78,0,0,6.28,1,1
Earth and Marine Sciences,0,3.79,Earth and Marine Sciences,1,0,317.59,1,0,0,1,0
Education and Training,2,3.97,Education and Training,1,735.24,326.7,1,0,0,1,1
History,5,3.28,History,1,0,337.75,1,0,0,1,1
Psychology,3,2.76,Data Science,0,607.92,207.33,1,0,0,0,0
Geology,6,2.77,Engineering - Petroleum,0,0,203.69,1,0,0,0,0
Biological Sciences,8,3.77,Biological Sciences,1,0,325.89,0,0,8.45,1,1
Natural Sciences,1,3.01,Arts and Humanities,0,0,248.01,1,0,0,0,0
Accounting and Finance,8,2.37,Earth and Marine Sciences,1,0,257.0,0,80.42,0,1,0
Social Sciences and Management,5,2.75,Psychology,0,462.06,0,1,0,0,1,0
Communication and Media Studies,10,3.39,Communication and Media Studies,1,751.79,0,0,0,8.54,1,1
"Theology, Divinity and Religious Studies",4,2.22,Archaeology,0,0,229.22,0,0,8.27,0,0
Psychology,5,3.61,Psychology,1,0,304.52,1,0,0,0,1
Veterinary Science,0,3.43,Veterinary Science,0,780.89,0,0,83.73,0,1,1
Agriculture and Forestry,2,3.69,Agriculture and Forestry,1,768.95,0,0,0,7.79,1,1
Environmental Sciences,8,2.69,Engineering - Mechanical,0,0,206.54,0,0,8.85,0,0
Medicine,3,3.88,Art and Design,1,751.52,328.46,0,96.51,0,0,1
Classics and Ancient History,8,3.04,Philosophy,1,0,304.15,1,0,0,1,0
Computer Science and Information Systems,5,3.02,Computer Science and Information Systems,0,0,315.19,1,0,0,1,1
History,7,3.96,History,1,758.2,0,1,0,0,0,1
Statistics and Operational Research,2,2.55,Sociology,0,0,233.58,1,0,0,1,0
Engineering - Mechanical,6,3.1,Engineering - Mechanical,1,712.98,0,0,101.18,0,1,0
Geophysics,9,2.64,Medicine,1,0,269.22,0,0,6.19,1,0
Classics and Ancient History,6,2.33,Anatomy and Physiology,0,507.95,0,1,0,0,0,0
Engineering and Technology,7,3.93,Engineering and Technology,1,744.65,0,1,0,0,1,1
Geophysics,9,3.78,Veterinary Science,0,0,328.03,1,0,0,1,1
Engineering - Mechanical,0,3.58,Engineering - Mechanical,1,0,332.16,0,0,6.74,1,0
Earth and Marine Sciences,8,3.33,Anthropology,1,0,317.17,1,0,0,1,1
Development Studies,1,3.45,Development Studies,1,0,308.11,1,0,0,1,1
Arts and Humanities,0,2.53,Art History,1,0,202.14,0,90.62,0,0,0
Engineering and Technology,2,3.63,Engineering and Technology,1,722.7,313.74,0,0,8.13,1,0
Social Sciences and Management,10,3.91,Social Sciences and Management,1,0,312.97,0,0,7.03,1,0
Business and Management Studies,3,3.1,Medicine,0,0,277.21,1,0,0,0,0
Psychology,8,3.02,Arts and Humanities,0,441.02,0,1,0,0,0,1
Politics,4,3.81,Geography,1,768.39,319.83,0,104.16,0,0,0
Engineering - Petroleum,8,3.36,Engineering - Petroleum,1,798.82,0,1,0,0,0,1
Engineering and Technology,10,3.97,Engineering - Mechanical,1,0,336.82,1,0,0,1,1
Medicine,10,3.63,Medicine,0,735.95,0,1,0,0,0,1
Art History,8,3.44,Art History,0,786.37,0,1,0,0,1,1
Art History,2,2.88,Statistics and Operational Research,1,0,253.43,1,0,0,0,0
Business and Management Studies,2,2.07,Architecture and Built Environment,0,371.81,0,1,0,0,1,1
Law and Legal Studies,9,3.01,Classics and Ancient History,1,781.25,0,1,0,0,1,1
Agriculture and Forestry,9,3.15,Physics and Astronomy,0,0,234.76,1,0,0,0,0
Environmental Sciences,0,3.93,Computer Science and Information Systems,1,0,326.5,0,88.03,0,1,1
Computer Science and Information Systems,0,3.34,Computer Science and Information Systems,1,0,339.36,1,0,0,1,1
